Rank	Model	Company	Release	Parameters	Average	Boolean Expressions	Causal Judgement	Date Understanding	Disambiguation QA	Dyck Languages	Formal Fallacies	Geometric Shapes	Hyperbaton	Logical Deduction Three Objects	Logical Deduction Five Objects	Logical Deduction Seven Objects	Movie Recommendation	Multistep Arithmetic Two	Navigate	Object Counting	Penguins In A Table	Reasoning About Colored Objects	Ruin Names	Salient Translation Error Detection	Snarks	Sports Understanding	Temporal Sequences	Tracking Shuffled Objects Three Objects	Tracking Shuffled Objects Five Objects	Tracking Shuffled Objects Seven Objects	Web Of Lies	Word Sorting
1	GPT-4	OpenAI	2023/3/15	N/A	86.7	96.4	72.2	90	85.6	63.2	81.2	49.6	99.2	98.4	83.6	58.8	87.2	87.6	98.8	99.6	97.3	97.6	89.2	69.6	90.4	95.2	100	100	100	100	100	50.8
2	DeepSeek-67B-Base	DeepSeek	2023/11/29	67B	71.7	85.2	57.2	86.4	75.2	30.4	46.4	38.4	78.8	90	60	44.8	88.8	38.8	85.2	82.4	76.7	86.4	76.4	54.4	75.8	99.6	95.2	86.4	82	81.6	99.6	33.2
3	XuanYuan-70B	Duxiaoman	2023/9/22	70B	71.4	89.2	68.4	85.2	75.2	5.2	52.8	35.6	87.6	92.8	54.4	40	89.6	59.2	79.6	89.6	73.3	86	72.8	54	79.2	96.8	95.6	80.4	84.4	70.8	99.6	29.2
4	ChatGPT	OpenAI	2023/3/1	N/A	70.1	93.2	51.9	85.2	62.8	16.8	53.6	54	85.6	79.6	55.6	37.6	74.4	78.4	94.8	98	78.8	86	57.2	56.4	66.9	96	63.2	87.2	77.2	70	90.4	42.4
5	StableBeluga2	Stability AI	2023/7/21	70B	69.3	87.2	63.1	81.2	76.8	9.2	45.6	45.6	79.6	91.2	62.8	54.4	90.4	34	86	79.2	76	85.2	70.8	56	85.4	98.8	92.8	64	64	54.4	100	36.4
6	DeepSeek-67B-Chat	DeepSeek	2023/11/29	67B	68.6	89.6	63.1	77.2	83.6	30.8	56.8	42	68	88	59.2	45.6	80	57.6	89.6	78	78.8	85.2	35.6	58.4	73	48.8	91.2	84	81.6	74.4	99.6	31.2
7	WeMix-LLaMA2-70B	Shanghai AI Lab	2023/10/16	70B	68.4	86.8	68.4	86.8	84	15.2	46.8	0	93.2	87.2	60.4	56	90.4	31.6	81.2	84	76	79.6	63.6	51.2	80.3	98.4	90.8	70.8	70.8	60	100	34
8	Qwen-72B-Chat	Alibaba	2023/11/30	72B	68	92.8	46.5	86.4	48	15.2	54.4	35.2	83.6	89.6	57.2	48.4	81.6	79.2	72.4	72.8	84.2	84.8	76.8	62.4	60.1	96.4	58.4	77.6	70	68.4	100	32.4
9	Claude-1	Anthropic	2023/3/14	N/A	67.3	40.4	58.3	82.8	75.2	24	28.4	52.4	92	92.8	69.6	54.8	76.8	48.4	83.6	44.4	91.1	88.8	78	68.4	79.8	40.8	96.4	77.2	89.2	85.2	96.4	1.6
10	Yi-34B	01.AI	2023/11/2	34B	66.4	86.4	61	85.2	75.6	19.2	51.2	21.6	79.2	85.2	50.4	40	86.8	33.6	81.2	84	67.8	82	66	54.8	73.6	97.6	86.4	54.8	68	65.2	99.6	36.4
