Model,Rank,Average,Boolean Expressions,Causal Judgement,Date Understanding,Disambiguation QA,Dyck Languages,Formal Fallacies,Geometric Shapes,Hyperbaton,Logical Deduction Three Objects,Logical Deduction Five Objects,Logical Deduction Seven Objects,Movie Recommendation,Multistep Arithmetic Two,Navigate,Object Counting,Penguins In A Table,Reasoning About Colored Objects,Ruin Names,Salient Translation Error Detection,Snarks,Sports Understanding,Temporal Sequences,Tracking Shuffled Objects Three Objects,Tracking Shuffled Objects Five Objects,Tracking Shuffled Objects Seven Objects,Web Of Lies,Word Sorting
GPT-4,1.0,86.72222222222223,96.4,72.2,90.0,85.6,63.2,81.2,49.6,99.2,98.4,83.6,58.8,87.2,87.6,98.8,99.6,97.3,97.6,89.2,69.6,90.4,95.2,100.0,100.0,100.0,100.0,100.0,50.8
DeepSeek-67B-Base,2.0,71.67777777777778,85.2,57.2,86.4,75.2,30.4,46.4,38.4,78.8,90.0,60.0,44.8,88.8,38.8,85.2,82.4,76.7,86.4,76.4,54.4,75.8,99.6,95.2,86.4,82.0,81.6,99.6,33.2
XuanYuan-70B,3.0,71.35185185185185,89.2,68.4,85.2,75.2,5.2,52.8,35.6,87.6,92.8,54.4,40.0,89.6,59.2,79.6,89.6,73.3,86.0,72.8,54.0,79.2,96.8,95.6,80.4,84.4,70.8,99.6,29.2
ChatGPT,4.0,70.11851851851854,93.2,51.9,85.2,62.8,16.8,53.6,54.0,85.6,79.6,55.6,37.6,74.4,78.4,94.8,98.0,78.8,86.0,57.2,56.4,66.9,96.0,63.2,87.2,77.2,70.0,90.4,42.4
StableBeluga2,5.0,69.26296296296297,87.2,63.1,81.2,76.8,9.2,45.6,45.6,79.6,91.2,62.8,54.4,90.4,34.0,86.0,79.2,76.0,85.2,70.8,56.0,85.4,98.8,92.8,64.0,64.0,54.4,100.0,36.4
DeepSeek-67B-Chat,6.0,68.55185185185185,89.6,63.1,77.2,83.6,30.8,56.8,42.0,68.0,88.0,59.2,45.6,80.0,57.6,89.6,78.0,78.8,85.2,35.6,58.4,73.0,48.8,91.2,84.0,81.6,74.4,99.6,31.2
WeMix-LLaMA2-70B,7.0,68.42592592592592,86.8,68.4,86.8,84.0,15.2,46.8,0.0,93.2,87.2,60.4,56.0,90.4,31.6,81.2,84.0,76.0,79.6,63.6,51.2,80.3,98.4,90.8,70.8,70.8,60.0,100.0,34.0
Qwen-72B-Chat,8.0,67.95555555555556,92.8,46.5,86.4,48.0,15.2,54.4,35.2,83.6,89.6,57.2,48.4,81.6,79.2,72.4,72.8,84.2,84.8,76.8,62.4,60.1,96.4,58.4,77.6,70.0,68.4,100.0,32.4
Claude-1,9.0,67.28888888888889,40.4,58.3,82.8,75.2,24.0,28.4,52.4,92.0,92.8,69.6,54.8,76.8,48.4,83.6,44.4,91.1,88.8,78.0,68.4,79.8,40.8,96.4,77.2,89.2,85.2,96.4,1.6
Yi-34B,10.0,66.39999999999999,86.4,61.0,85.2,75.6,19.2,51.2,21.6,79.2,85.2,50.4,40.0,86.8,33.6,81.2,84.0,67.8,82.0,66.0,54.8,73.6,97.6,86.4,54.8,68.0,65.2,99.6,36.4
ChatGLM3-6B-Base,11.0,66.18888888888888,87.6,64.2,75.2,72.8,9.2,50.4,37.2,93.6,67.6,47.2,32.8,86.8,57.2,87.2,92.0,61.6,80.8,84.0,42.8,60.1,93.6,89.6,59.2,64.0,56.0,94.8,39.6
LLaMA-2-70B,12.0,64.91111111111111,81.2,63.6,88.4,67.2,14.0,44.4,0.0,84.8,86.0,54.0,42.4,95.6,21.2,82.4,82.8,69.9,77.2,63.6,50.8,74.7,98.4,75.6,74.0,72.4,57.6,100.0,30.4
TigerBot-70B-Chat-V2,13.0,63.87777777777778,82.4,68.4,74.8,78.4,14.4,44.4,36.8,91.2,84.4,54.8,41.6,84.0,20.8,84.8,77.2,69.2,76.0,66.4,54.0,71.9,72.4,71.2,75.6,55.6,44.4,99.6,30.0
TigerBot-70B-Base-V1,14.0,63.75185185185186,80.0,62.6,77.6,69.2,13.2,44.4,31.2,85.6,81.6,47.6,35.2,91.6,24.4,82.0,81.2,69.2,74.0,62.8,53.2,69.1,97.2,88.8,73.6,56.4,40.4,100.0,29.2
Qwen-72B,15.0,63.733333333333334,91.6,29.4,74.4,68.4,13.2,6.0,23.6,89.6,88.8,60.0,50.0,81.6,70.0,54.0,82.4,78.8,85.2,81.2,58.4,77.0,87.6,70.4,79.6,56.8,63.2,64.8,34.8
TigerBot-70B-Chat-V1,16.0,63.177777777777756,80.8,63.1,72.8,61.6,14.8,44.8,31.6,91.6,80.0,52.8,39.6,82.0,20.8,86.4,85.2,67.8,70.4,69.6,52.8,69.7,91.6,80.4,67.6,55.6,43.6,99.6,29.2
OrionStar-Yi-34B-Chat,17.0,61.6925925925926,88.0,62.0,83.2,78.8,5.2,53.2,34.4,78.0,83.2,57.6,39.6,83.6,32.4,66.0,67.6,67.8,73.2,65.6,52.8,78.7,87.2,66.4,48.4,46.0,40.4,99.6,26.8
LLaMA-2-70B-Chat,18.0,60.79259259259258,80.4,57.8,80.4,66.8,4.0,53.2,0.0,71.2,88.8,53.6,47.2,87.6,10.8,77.6,65.6,70.5,76.4,77.2,45.6,78.7,95.6,85.6,50.0,46.8,42.4,99.6,28.0
Dolphin-2.2.1-Mistral-7B,19.0,59.77407407407408,80.4,59.9,73.2,73.2,4.8,47.6,36.8,82.0,81.6,56.0,40.0,81.2,38.0,68.4,72.0,69.9,78.4,66.8,57.2,62.9,98.8,76.8,44.4,27.6,25.2,91.6,19.2
LLaMA-65B,20.0,58.385185185185165,81.6,55.1,84.4,76.8,6.8,41.6,0.0,75.2,79.2,47.6,39.2,91.2,18.8,72.8,70.0,65.8,66.8,70.8,40.8,63.5,98.8,84.8,50.4,41.6,31.6,99.6,21.6
Qwen-14B-Chat,21.0,58.03703703703703,83.2,58.3,73.6,70.8,1.6,36.4,46.0,76.8,80.8,42.0,36.4,78.0,41.6,77.2,73.6,61.6,74.0,61.2,49.6,69.1,91.6,67.6,46.0,28.0,21.2,97.2,23.6
Mistral-7B-v0.1,22.0,56.662962962962965,82.0,48.1,76.8,53.6,4.4,43.6,28.0,70.8,79.2,54.8,42.0,78.0,30.4,73.6,67.6,56.2,69.6,66.0,47.2,64.0,97.2,73.6,45.2,30.0,21.6,100.0,26.4
Qwen-14B,23.0,53.74444444444443,76.8,55.1,9.6,63.2,3.2,50.0,44.8,79.2,79.2,47.2,38.8,80.4,64.0,76.0,50.8,61.0,73.6,64.4,46.8,50.6,88.4,15.6,46.8,34.0,30.0,97.6,24.0
Nanbeige-16B-Base-32K,24.0,52.918518518518525,77.2,57.2,73.2,61.2,2.0,49.2,24.8,78.0,71.2,41.2,37.6,77.6,13.6,69.2,55.6,52.1,69.6,54.0,50.8,60.7,86.8,61.2,38.0,26.0,21.6,100.0,19.2
InternLM-20B,25.0,52.51111111111111,72.0,62.6,71.6,63.2,3.2,54.0,35.2,64.4,72.0,48.4,38.0,77.6,15.6,66.4,62.0,52.1,68.0,64.8,48.0,60.7,92.0,44.4,26.4,25.6,18.8,92.0,18.8
Vicuna-33B-v1.3,26.0,52.02222222222222,76.0,61.0,76.0,58.4,1.6,42.8,32.4,66.0,74.0,50.8,36.4,77.2,9.2,67.2,60.8,56.8,62.0,61.2,47.2,65.2,94.0,34.0,34.8,25.2,18.8,94.8,20.8
Vicuna-13B-v1.5,27.0,51.51481481481481,76.0,61.0,73.2,66.0,2.4,48.8,38.0,68.4,73.6,40.4,41.2,67.6,5.2,67.6,64.8,61.0,62.4,46.8,42.4,60.1,94.0,49.6,31.6,20.4,16.4,94.8,17.2
Nanbeige-16B-Base,28.0,50.796296296296305,75.6,50.8,73.6,35.2,1.2,48.8,24.4,68.4,62.4,42.0,41.6,82.4,8.4,73.2,57.2,52.7,70.4,41.2,38.4,59.6,90.4,66.4,42.4,28.8,18.8,90.4,26.8
LLaMA-30B,29.0,49.977777777777774,78.4,56.1,76.8,60.0,2.8,43.2,0.0,73.2,66.8,42.4,31.2,84.4,3.2,64.8,71.6,56.8,57.6,62.8,43.2,60.1,94.0,34.0,29.6,22.0,18.8,98.4,17.2
Baichuan2-13B-Chat,30.0,49.9,74.8,56.1,64.4,51.6,3.2,45.2,28.4,58.8,64.4,36.0,36.4,67.2,24.8,71.2,64.8,57.5,67.6,50.4,47.2,65.7,91.6,42.0,40.8,26.8,16.8,75.2,18.4
Baichuan2-13B-Base,31.0,48.97777777777779,73.2,55.1,67.2,54.4,2.8,49.6,28.4,67.2,62.8,44.0,44.8,74.0,17.2,66.4,60.8,56.8,62.8,36.0,35.6,51.7,92.4,31.2,40.0,23.2,15.2,81.2,28.4
WeMix-LLaMa2-13B,32.0,48.59259259259258,75.6,56.7,70.8,67.2,7.2,46.8,0.0,56.4,67.2,48.8,44.8,65.2,2.0,68.0,52.8,54.1,71.6,42.8,34.4,70.8,86.4,40.0,35.6,24.4,20.0,84.8,17.6
Yulan-Chat-2-13B,33.0,48.57407407407408,76.0,55.1,68.0,54.8,2.0,44.8,23.2,56.4,68.0,47.6,39.6,63.6,5.2,64.4,58.0,52.1,62.0,40.4,42.4,66.3,86.0,52.4,29.2,20.4,20.0,97.6,16.0
Skywork-13B-base,34.0,48.3074074074074,72.4,56.1,74.4,52.8,1.2,47.2,16.4,86.8,65.6,37.2,24.8,62.8,21.2,66.0,54.4,56.2,61.2,60.4,46.4,55.6,91.2,22.8,37.6,24.0,20.0,80.4,9.2
TigerBot-13B-Base-V2,35.0,48.2111111111111,72.0,52.4,72.8,39.6,0.8,48.0,24.8,68.4,65.2,40.4,42.4,80.8,3.2,70.8,58.8,54.1,52.8,40.4,35.2,59.6,92.8,43.6,34.8,22.0,20.8,86.8,18.4
LLaMA-2-Chinese-13B,36.0,48.20370370370371,74.4,59.9,69.2,42.4,3.2,47.2,29.2,68.4,73.2,46.0,38.8,65.2,1.6,68.4,63.6,49.3,62.0,34.8,33.6,69.1,94.0,21.6,34.8,14.4,18.4,94.4,24.4
Vicuna-13B-v1.5-16k,37.0,48.11851851851852,71.6,56.7,73.6,66.8,0.4,48.0,32.8,44.8,66.4,42.0,45.2,74.0,2.8,66.0,58.8,45.2,60.0,35.2,45.2,60.1,95.6,39.2,34.8,20.8,15.2,86.4,11.6
LLaMA-2-13B-Chinese-Chat,38.0,47.25925925925925,74.4,56.1,72.0,44.8,4.4,45.6,27.6,54.4,63.6,41.2,42.4,67.6,3.6,72.8,51.6,49.3,62.8,36.0,36.8,61.8,95.2,27.6,33.6,20.0,18.0,98.4,14.4
Qwen-7B-Chat,39.0,46.93703703703704,77.6,57.8,63.6,52.8,1.6,39.2,15.2,74.0,54.4,38.4,32.4,69.2,22.4,59.2,60.4,47.3,61.6,43.2,37.2,67.4,83.6,46.0,32.8,22.4,13.2,77.6,16.8
LingoWhale-8B,40.0,46.55185185185186,72.4,48.1,69.2,43.2,2.8,42.4,12.4,63.2,53.6,44.4,36.4,78.4,11.2,58.0,53.2,40.4,59.6,68.4,41.2,73.6,80.8,77.6,31.2,17.2,15.2,51.2,11.6
TigerBot-13B-Base-V1,41.0,46.34444444444444,75.2,59.4,68.4,41.2,0.4,48.0,29.2,71.6,64.8,46.8,46.8,60.0,1.6,62.4,60.8,55.5,53.6,34.4,32.8,55.6,90.4,28.4,29.6,21.2,18.4,79.2,15.6
LLaMA-2-13B,42.0,45.614814814814814,74.0,54.5,73.2,40.0,2.8,46.8,0.0,52.8,63.6,45.6,42.0,68.0,2.0,74.4,52.8,45.2,61.6,38.0,21.6,53.9,97.6,24.8,35.6,23.2,22.8,96.0,18.8
Baichuan-13B-Chat,43.0,45.41851851851851,74.0,54.5,61.2,62.0,4.0,54.4,18.4,62.0,58.8,36.8,32.0,72.4,5.6,64.8,60.4,43.8,56.4,40.0,33.6,52.8,88.4,42.4,35.6,20.4,15.6,62.8,13.2
Qwen-7B,44.0,45.237037037037034,75.6,62.0,64.4,44.0,0.4,50.8,18.4,80.0,54.0,36.4,27.6,75.6,24.8,55.6,26.4,52.7,60.4,42.4,43.2,56.7,82.0,35.6,35.2,20.8,14.0,65.6,16.8
Yi-6B,45.0,44.88518518518521,60.0,52.4,63.6,46.4,1.2,53.2,28.4,72.4,49.2,34.8,27.6,76.8,9.2,66.4,53.6,48.6,57.2,46.0,32.4,60.1,92.8,32.4,34.4,17.2,14.4,65.2,16.0
